OBJECTID;MUNICIPIO;Estado;Região
5398;São Pedro do Piauí ; PI;Nordeste
5399;Parnamirim ; RN;Nordeste
5400;Inhangapi ; PA;Norte
5401;São Paulo do Potengi ; RN;Nordeste
5402;Bodó ; RN;Nordeste
5403;Riacho da Cruz ; RN;Nordeste
5404;Quebrangulo ; AL;Nordeste
5405;João Dias ; RN;Nordeste
5406;Brejo do Cruz ; PB;Nordeste
5407;Catingueira ; PB;Nordeste
5408;Tremembé ; SP;Sudeste
5409;Praia Norte ; TO;Norte
5410;Mirangaba ; BA;Nordeste
5411;Timbaúba dos Batistas ; RN;Nordeste
5412;São José do Brejo do Cruz ; PB;Nordeste
5413;Jaçanã ; RN;Nordeste
5414;Pastos Bons ; MA;Nordeste
5415;Pedro Velho ; RN;Nordeste
5416;Magalhães de Almeida ; MA;Nordeste
5417;Morrinhos ; CE;Nordeste
5418;Viçosa ; RN;Nordeste
5419;Passo de Camaragibe ; AL;Nordeste
5420;São Domingos ; BA;Nordeste
5421;Aracitaba ; MG;Sudeste
5422;Lapão ; BA;Nordeste
5423;Porto Rico ; PR;Sul
5424;Serrolândia ; BA;Nordeste
5425;Toritama ; PE;Nordeste
5426;Chã de Alegria ; PE;Nordeste
5427;Presidente Vargas ; MA;Nordeste
5428;Olinda ; PE;Nordeste
5429;Glória do Goitá ; PE;Nordeste
5430;Camaragibe ; PE;Nordeste
5431;Araújos ; MG;Sudeste
5432;Frutal ; MG;Sudeste
5433;Miranda ; MS;Centro-Oeste
5434;Três Lagoas ; MS;Centro-Oeste
5435;Santa Luzia ; MG;Sudeste
