OBJECTID;MUNICIPIO;Estado;Região
4870;Palmeirais ; PI;Nordeste
4871;Sítio Novo do Tocantins ; TO;Norte
4872;Davinópolis ; MA;Nordeste
4873;Curralinhos ; PI;Nordeste
4874;Brejo Grande do Araguaia ; PA;Norte
4875;Milhã ; CE;Nordeste
4876;Monsenhor Gil ; PI;Nordeste
4877;Fortuna ; MA;Nordeste
4878;Taipu ; RN;Nordeste
4879;Upanema ; RN;Nordeste
4880;São Domingos do Araguaia ; PA;Norte
4881;Itaú ; RN;Nordeste
4882;Jardim de Angicos ; RN;Nordeste
4883;Ipanguaçu ; RN;Nordeste
4884;São Domingos do Maranhão ; MA;Nordeste
4885;Poço Branco ; RN;Nordeste
4886;Solonópole ; CE;Nordeste
4887;Ceará-Mirim; RN;Nordeste
4888;Governador Luiz Rocha ; MA;Nordeste
4889;Lajes ; RN;Nordeste
4890;Novo Oriente ; CE;Nordeste
4891;Miguel Leão ; PI;Nordeste
4892;São Miguel do Tocantins ; TO;Norte
4893;Tauá ; CE;Nordeste
4894;Caiçara do Rio do Vento ; RN;Nordeste
4895;Jaguaribara ; CE;Nordeste
4896;Santa Filomena do Maranhão ; MA;Nordeste
4897;São João da Serra ; PI;Nordeste
4898;São Miguel do Tapuio ; PI;Nordeste
4899;Maxaranguape ; RN;Nordeste
4900;Afonso Bezerra ; RN;Nordeste
4901;Senador Pompeu ; CE;Nordeste
4902;Alto Santo ; CE;Nordeste
4903;Buritirana ; MA;Nordeste
4904;Beneditinos ; PI;Nordeste
4905;Pedra Branca ; CE;Nordeste
4906;Nazária ; PI;Nordeste
4907;São João do Araguaia ; PA;Norte
4908;Apodi ; RN;Nordeste
4909;Sampaio ; TO;Norte
4910;Parnarama ; MA;Nordeste
4911;Augustinópolis ; TO;Norte
4912;Araguatins ; TO;Norte
4913;Itaguatins ; TO;Norte
4914;Alto do Rodrigues ; RN;Nordeste
4915;Rio do Fogo ; RN;Nordeste
4916;Governador Eugênio Barros ; MA;Nordeste
4917;Jardim do Mulato ; PI;Nordeste
4918;Governador Dix-Sept Rosado ; RN;Nordeste
4919;São João do Jaguaribe ; CE;Nordeste
4920;Parazinho ; RN;Nordeste
4921;Limoeiro do Norte ; CE;Nordeste
4922;Jaguaretama ; CE;Nordeste
4923;São Sebastião do Tocantins ; TO;Norte
4924;Senador Alexandre Costa ; MA;Nordeste
4925;Tabuleiro do Norte ; CE;Nordeste
4926;Coivaras ; PI;Nordeste
4927;Matões ; MA;Nordeste
4928;Independência ; CE;Nordeste
4929;Carnaubais ; RN;Nordeste
4930;Imperatriz ; MA;Nordeste
4931;Esperantina ; TO;Norte
4932;Touros ; RN;Nordeste
4933;Presidente Dutra ; MA;Nordeste
4934;Senador La Rocque ; MA;Nordeste
4935;Alto Longá ; PI;Nordeste
4936;Banabuiú ; CE;Nordeste
4937;Jenipapo dos Vieiras ; MA;Nordeste
4938;São Bento do Norte ; RN;Nordeste
4939;São Francisco do Brejão ; MA;Nordeste
4940;Timon ; MA;Nordeste
4941;Barra do Corda ; MA;Nordeste
4942;Sítio Novo ; RN;Nordeste
4943;São Raimundo do Doca Bezerra ; MA;Nordeste
4944;João Lisboa ; MA;Nordeste
4945;Cachoeirinha ; TO;Norte
4946;Castelo do Piauí ; PI;Nordeste
4947;Itaipava do Grajaú ; MA;Nordeste
4948;São Pedro da Água Branca ; MA;Nordeste
4949;Crateús ; CE;Nordeste
4950;Areia Branca ; RN;Nordeste
4951;Juazeiro do Piauí ; PI;Nordeste
4952;Baraúna ; RN;Nordeste
4953;Novo Aripuanã ; AM;Norte
4954;São João do Soter ; MA;Nordeste
4955;Ipaporanga ; CE;Nordeste
4956;Joselândia ; MA;Nordeste
4957;São José dos Basílios ; MA;Nordeste
4958;Grossos ; RN;Nordeste
4959;Amarante do Maranhão ; MA;Nordeste
4960;Quixeré ; CE;Nordeste
4961;Teresina ; PI;Nordeste
4962;Governador Archer ; MA;Nordeste
4963;Abel Figueiredo ; PA;Norte
4964;Cidelândia ; MA;Nordeste
4965;Monsenhor Tabosa ; CE;Nordeste
4966;Vila Nova dos Martírios ; MA;Nordeste
4967;Lagoa Grande do Maranhão ; MA;Nordeste
4968;Nova Ipixuna ; PA;Norte
4969;Buriti dos Montes ; PI;Nordeste
4970;Bom Jesus do Tocantins ; PA;Norte
4971;Sigefredo Pacheco ; PI;Nordeste
4972;Jaguaruana ; CE;Nordeste
4973;Itupiranga ; PA;Norte
4974;Ararendá ; CE;Nordeste
4975;Jatobá do Piauí ; PI;Nordeste
4976;Quixadá ; CE;Nordeste
4977;Santo Antônio dos Lopes ; MA;Nordeste
4978;Milton Brandão ; PI;Nordeste
4979;Poção de Pedras ; MA;Nordeste
4980;Pedro II ; PI;Nordeste
4981;Choró ; CE;Nordeste
4982;Ibaretama ; CE;Nordeste
4983;Russas ; CE;Nordeste
4984;Palhano ; CE;Nordeste
4985;Bernardo do Mearim ; MA;Nordeste
4986;Poranga ; CE;Nordeste
4987;Redenção ; CE;Nordeste
